Mode,Category,Subcategory,Note,Income/Expense,Amount(Pounds),date
Saving Bank account 1,Food,Bread,Sweet bread cake pav kg,Expense,0.828,
Saving Bank account 1,Food,Eggs,6 eggs,Expense,0.38639999999999997,
Saving Bank account 1,Food,Bread,,Expense,0.1656,
Credit Card,Household,Kirana,Toast+ biscuits,Expense,1.058,
Saving Bank account 1,Food,vegetables,,Expense,1.288,
Saving Bank account 1,Food,Milk,1 lit ,Expense,0.6348,
Saving Bank account 1,Health,Health,Glasses advance,Expense,9.2,
Saving Bank account 1,Gpay Reward,,,Income,0.0644,
Cash,Transportation,auto,2 Place 0 to Current Residence,Expense,0.276,
Cash,Transportation,auto,Place 6 station to  mall,Expense,0.276,
Cash,Transportation,Train,1 Place 0 to Place 6,Expense,0.046,
Credit Card,Apparel,Footwear,Sandals Hush puppies,Expense,24.8308,
Saving Bank account 1,Gpay Reward,,,Income,0.0736,
Cash,Transportation,auto,eye institute to Place 6 station,Expense,0.368,
Credit Card,Health,Medicine,eye drop,Expense,1.4627999999999999,
Cash,Transportation,auto,Place 6 station to eye institute,Expense,0.368,
Saving Bank account 1,Health,Hospital,"Routine checkup - eye institute, Place 6",Expense,3.6799999999999997,
Cash,Transportation,Train,1 Place 0 to Place 6 return,Expense,0.092,
Credit Card,subscription,Tata Sky,Permanent Residence - Tata Play recharge,Expense,1.4352,
Saving Bank account 1,Food,Milk,1 lit ,Expense,0.6348,
Cash,Apparel,Laundry,clothes ironing : Rs 6 per item,Expense,0.828,
Cash,Food,vegetables,Half kg tomato,Expense,0.092,
Credit Card,Culture,Movie,2 PVR Place 6,Expense,2.8888,
Cash,Food,Bread,Flatbread 8 pcs,Expense,0.2116,
Cash,Food,Grocery,Dahi + remaining balance,Expense,0.15639999999999998,
Cash,Food,flour mill,3 kg Bajari,Expense,0.19319999999999998,
Saving Bank account 1,Food,Milk,1 lit ,Expense,0.6348,
Saving Bank account 1,Equity Mutual Fund C,,,Transfer-Out,9.2,2024-11-22
Saving Bank account 1,Life Insurance,,,Transfer-Out,101.5956,2024-11-22
Saving Bank account 1,Food,Milk,milk 1lit ,Expense,0.644,
Cash,scrap,,,Income,1.8399999999999999,
Saving Bank account 1,Food,snacks,1 Panipuri,Expense,0.184,
Cash,Transportation,auto,2 Place 0 to Current Residence,Expense,0.276,
Cash,Transportation,Train,2 Place 0 to Place 6 return,Expense,0.184,
Cash,Transportation,auto,2 Current Residence to Place 0,Expense,0.276,
Credit Card,Culture,Movie,2 PVR Place 6,Expense,4.0112,
Credit Card,Household,Kirana,Khobra + shengdana+ vim bar,Expense,2.2264,
Saving Bank account 1,Food,Eggs,6 eggs,Expense,0.3588,
Saving Bank account 1,subscription,Mahanagar Gas,,Expense,1.3524,
Saving Bank account 1,Self-development,,Marathon,Expense,8.74,
Saving Bank account 1,Food,Milk,1.5 lit milk ,Expense,0.9568,
Saving Bank account 1,Food,Ice cream,Vanila family pack,Expense,0.966,
Saving Bank account 1,Household,Kirana,Agarbatti 55 + dahi 25,Expense,0.736,
Saving Bank account 1,Food,flour mill,4 kg Gehu,Expense,0.2576,
Saving Bank account 1,Food,Milk,1 lit ,Expense,0.644,
Credit Card,Food,Dinner,Home Food Delivery,Expense,4.8208,
Saving Bank account 1,Household,Kirana,Toast 55 + Kisan Jam 85 + all out 75,Expense,1.9228,
Saving Bank account 1,Education,Stationary,Photo paper print,Expense,0.414,
Saving Bank account 1,Food,Bread,brown bread,Expense,0.22999999999999998,
Credit Card,Household,Kirana,Amul butter 52 + Good Day biscuits 43,Expense,0.874,
Cash,Food,fruits,,Expense,1.15,
Cash,Family,Pocket money,,Expense,7.084,
Saving Bank account 1,Food,Grocery,vegetables,Expense,1.472,
Saving Bank account 1,Household,Kirana,Pani Puri packet + Bundi + chivda,Expense,1.656,
Saving Bank account 1,Food,Milk,milk 1lit varna,Expense,0.644,
Saving Bank account 1,Food,Grocery,onion 1 kg + half kg potato,Expense,0.45999999999999996,
Credit Card,Household,Kirana,Maggie + lizol,Expense,2.4656,
Saving Bank account 1,Food,Grocery,Shev bhaji sev pav kg,Expense,0.552,
Cash,Transportation,auto,2 Place 0 to Current Residence,Expense,0.276,2024-11-12
Credit Card,Food,Dinner,At restaurant,Expense,14.03,2024-11-12
Cash,Food,Tea,,Expense,0.1104,2024-11-12
Credit Card,Household,Appliances,USB cord,Expense,1.196,2024-11-12
Cash,Household,Appliances,Screwdriver 2,Expense,1.104,2024-11-12
Credit Card,Other,,Shopping at Alfa,Expense,33.948,2024-11-12
Cash,Transportation,auto,Place P station to Alfa market,Expense,0.31279999999999997,2024-11-12
Cash,Transportation,Train,Place 4 station to Place P return,Expense,0.276,2024-11-12
Cash,Transportation,Train,Place 0 to Place P return,Expense,0.368,2024-11-12
Saving Bank account 1,Food,Eggs,6 eggs,Expense,0.3588,2024-11-11
Saving Bank account 1,Food,Milk,Half lit  milk,Expense,0.2392,2024-11-11
Saving Bank account 1,Equity Mutual Fund F,,,Transfer-Out,9.2,2024-11-10
Cash,Apparel,Laundry,clothes ironing : Rs 6 per item,Expense,0.6624,2024-11-09
Cash,Household,Toiletries,Colgate max fresh small,Expense,0.184,2024-11-09
Credit Card,Household,Kirana,,Expense,0.6164,2024-11-09
Saving Bank account 1,Health,Medicine,Acne Star cream,Expense,0.9199999999999999,2024-11-09
Saving Bank account 1,Food,Lunch,Bhendi bhaji,Expense,0.368,2024-11-09
Saving Bank account 1,Food,Milk,1 lit ,Expense,0.644,2024-11-09
Credit Card,Household,Kirana,,Expense,4.9588,2024-11-08
Saving Bank account 1,Gpay Reward,,,Income,0.0552,2024-11-08
Saving Bank account 1,Food,fruits,1 kg apple,Expense,1.196,2024-11-08
Saving Bank account 1,Food,Milk,1 lit ,Expense,0.644,2024-11-07
Saving Bank account 1,Equity Mutual Fund E,,,Transfer-Out,9.2,2024-11-07
Cash,Food,Eggs,6 eggs,Expense,0.3588,2024-11-06
Cash,Transportation,auto,Place 0 to Current Residence,Expense,0.138,2024-11-05
Saving Bank account 1,subscription,Tata Sky,Current Residence - Tata Play recharge,Expense,1.8399999999999999,2024-11-05
Saving Bank account 1,Equity Mutual Fund A,,,Transfer-Out,9.2,2024-11-05
Equity Mutual Fund B,Saving Bank account 1,,,Transfer-Out,18.4,2024-11-03
Saving Bank account 1,subscription,Edtech Course,,Expense,24.84,2024-11-03
Cash,Food,snacks,2 pavwada,Expense,0.184,2024-11-02
Cash,Other,,Dambar goli 2 packets ( Naphthalene balls),Expense,1.196,2024-11-02
Saving Bank account 1,subscription,Mobile Service Provider,Mobile Service Provider freedom pack,Expense,2.7232,2024-11-01
Saving Bank account 1,Salary,,From workplace ,Income,720.3416,2024-11-01
Saving Bank account 1,Recurring Deposit,,,Transfer-Out,9.2,2024-11-01
Saving Bank account 1,Recurring Deposit,,,Transfer-Out,9.2,2024-11-01
Saving Bank account 1,Public Provident Fund,,,Transfer-Out,92.0,2024-11-01
Saving Bank account 1,Money transfer,Home,,Expense,92.0,2024-11-01
Saving Bank account 1,subscription,Mobile Service Provider,Mobile Service Provider freedom pack,Expense,2.7232,
Credit Card,subscription,Mobile Service Provider,Mobile Service Provider freedom pack,Expense,2.7232,
Credit Card,subscription,Hotstar,subscription 1yr,Expense,7.318508,
Cash,Transportation,auto,Permanent Residence to bus stand,Expense,0.368,
Cash,Transportation,auto,within city,Expense,0.45999999999999996,
Cash,Festivals,Diwali,Offering,Expense,0.45999999999999996,
Cash,Festivals,Diwali,Offering,Expense,0.092,
Cash,Festivals,Diwali,Offering,Expense,4.6,
Saving Bank account 1,Petty cash,,From Family,Income,27.599999999999998,
Saving Bank account 1,subscription,Mobile Service Provider,Mobile Service Provider freedom pack,Expense,2.7232,
Cash,Food,snacks,Dahi,Expense,0.092,
Cash,Household,Toiletries,Shampoo sachets,Expense,0.0828,
Cash,Apparel,Footwear,Slippers,Expense,2.024,
Cash,Festivals,Diwali,Aakash kandil,Expense,1.8399999999999999,
Cash,Household,Toiletries,Dettol liquid handwash refill,Expense,0.9107999999999999,
Cash,Household,Kitchen,flour mill,Expense,0.2484,
Cash,Household,Kirana,,Expense,0.45999999999999996,
Saving Bank account 1,subscription,Tata Sky,Permanent Residence - Tata Play recharge,Expense,1.7571999999999999,
Cash,Transportation,auto,Current Residence to Place 1 bus stop highway,Expense,0.45999999999999996,
Saving Bank account 1,Equity Mutual Fund C,,,Transfer-Out,9.2,2024-10-22
Credit Card,Other,,ipad cover + case,Expense,17.3696,
Cash,Food,Grocery,Onion half kg 13 + milkybar 10 + Colgate maxfresh 10,Expense,0.3036,
Cash,maid,,,Expense,18.4,
Saving Bank account 1,Gift,,farewell contribution,Expense,1.8399999999999999,
Cash,Festivals,Diwali,Rangoli + stamp,Expense,0.184,
Cash,Food,snacks,Gupta bhel,Expense,0.22999999999999998,
Credit Card,Transportation,train,2 Place 2 to Place 3 : Sevagram express 3AC,Expense,12.2636,
Credit Card,Transportation,train,2 Place 3 to Place 2 : Amritsar express 3AC,Expense,11.3252,
Saving Bank account 1,Petty cash,,From Family,Income,27.599999999999998,
Cash,Family,Pocket money,,Expense,0.644,
Saving Bank account 1,Equity Mutual Fund D,,Lumpsum,Transfer-Out,92.0,2024-10-11
Saving Bank account 1,Transportation,train,Place 2 to Place 3 sevagram,Expense,6.05912,2024-10-11
Cash,Household,Kitchen,flour mill,Expense,0.1288,2024-10-10
Saving Bank account 1,Share Market,,Stock market,Transfer-Out,1380.0,2024-10-10
Saving Bank account 1,Equity Mutual Fund F,,,Transfer-Out,9.2,2024-10-10
Cash,Food,fruits,,Expense,2.116,2024-10-09
Cash,Food,Grocery,vegetables,Expense,2.576,2024-10-09
Saving Bank account 1,subscription,Wifi Internet Service,1 Year Plan (40mbps + UL+ 3 Months Free),Expense,51.888,2024-10-09
Credit Card,Gift,,For Friend,Expense,59.8,2024-10-08
Credit Card,Family,clothes,Fab India,Expense,29.421599999999998,2024-10-08
Saving Bank account 1,Equity Mutual Fund E,,,Transfer-Out,9.2,2024-10-07
Saving Bank account 1,Health,Medicine,,Expense,4.3056,2024-10-06
Saving Bank account 1,Other,,account opening fee,Expense,1.8399999999999999,2024-10-05
Saving Bank account 1,Equity Mutual Fund A,,,Transfer-Out,9.2,2024-10-05
Saving Bank account 1,subscription,Edtech Course,,Expense,24.84,2024-10-04
Saving Bank account 1,Health,Medicine,Boroline + band aid,Expense,0.45999999999999996,2024-10-04
Cash,Family,Pocket money,,Expense,3.6799999999999997,2024-10-04
Credit Card,Household,Kirana,Supermart,Expense,28.105999999999998,2024-10-02
Cash,maid,,,Expense,18.4,2024-10-02
Saving Bank account 1,subscription,Hotstar,3 months subscription Mobile,Expense,1.3708,2024-10-01
Saving Bank account 1,Recurring Deposit,,,Transfer-Out,9.2,2024-10-01
Saving Bank account 1,Recurring Deposit,,,Transfer-Out,9.2,2024-10-01
Saving Bank account 1,Public Provident Fund,,,Transfer-Out,92.0,2024-10-01
Saving Bank account 1,Money transfer,Home,,Expense,92.0,2024-10-01
Saving Bank account 1,Health,Medicine,Candid dusting powder,Expense,0.5428,
Saving Bank account 1,Household,Kirana,Supermart,Expense,1.426,
Saving Bank account 1,Food,Grocery,vegetables,Expense,1.242,
Cash,Food,Grocery,vegetables,Expense,0.276,
Cash,Household,Kitchen,Cooktop installation+ base,Expense,5.52,
Saving Bank account 1,Salary,,From workplace ,Income,566.5176,
Saving Bank account 1,Interest,,interest paid,Income,7.1575999999999995,
Cash,Apparel,Laundry,clothes ironing : Rs 6 per item,Expense,0.552,
Cash,Food,snacks,Gupta bhel,Expense,0.22999999999999998,
Cash,Food,Ice cream,Vanila cup,Expense,0.092,
Saving Bank account 1,Health,Medicine,3 tablet Nor tz,Expense,0.19319999999999998,
Saving Bank account 1,subscription,Tata Sky,Current Residence - Tata Play recharge,Expense,1.978,
Saving Bank account 1,Transportation,Travels,2 Place 1 to Place 2 - Novelty tour and travels,Expense,21.9696,
Cash,Household,Kirana,,Expense,2.8704,
Saving Bank account 1,Gpay Reward,,,Income,0.0552,
Saving Bank account 1,Gift,,farewell contribution,Expense,3.0728,
Saving Bank account 1,Food,fruits,half kg chiku,Expense,0.276,
Saving Bank account 1,Food,fruits,Apple 2 kg (110) + Banana 1kg (80),Expense,2.76,
Cash,Transportation,auto,2 Place 0 to Current Residence,Expense,0.276,
Cash,Transportation,Train,Place 0 to WS return,Expense,0.092,
Credit Card,Culture,Movie,2,Expense,5.152,
Cash,Food,Sweets,Half kg pedhe,Expense,2.576,
Saving Bank account 1,Beauty,grooming,hair cut,Expense,0.9199999999999999,
Saving Bank account 1,Food,Dinner,Chicken masala gravy,Expense,0.9199999999999999,
Saving Bank account 1,Equity Mutual Fund C,,,Transfer-Out,9.2,2024-09-22
Cash,Other,,Umbrella cover repair,Expense,0.092,
Cash,Transportation,auto,Place 0 to Current Residence,Expense,0.138,
Cash,Food,snacks,Vadapav,Expense,0.138,
Cash,Food,Tea,,Expense,0.092,
Cash,Transportation,Train,Place 0 to dadar return,Expense,0.276,
Cash,Family,Pocket money,,Expense,0.644,
Saving Bank account 1,Health,Health,Surgical gloves pair,Expense,0.184,
Saving Bank account 1,Other,,CSR,Expense,0.9199999999999999,
Cash,Family,Pocket money,,Expense,0.184,
Saving Bank account 1,Health,Medicine,,Expense,0.506,
Cash,Food,fruits,half kg chiku,Expense,0.552,
Cash,Food,fruits,Nariyal,Expense,0.506,
Saving Bank account 1,Household,Kirana,,Expense,1.0488,
Saving Bank account 1,Health,Medicine,,Expense,1.3892,
Credit Card,Household,Kirana,Supermart,Expense,5.1335999999999995,
Saving Bank account 1,Food,Bread,,Expense,0.322,
Saving Bank account 1,Food,Milk,1.5 lit milk ,Expense,0.9107999999999999,
Cash,Food,Dinner,Sugaran Kitchen,Expense,0.552,
Saving Bank account 1,Food,Lunch,,Expense,1.196,
Cash,Food,fruits,Nariyal,Expense,0.506,
Saving Bank account 1,Health,Medicine,,Expense,3.4316,
Saving Bank account 1,Health,Hospital,Doctor Fees,Expense,1.38,
Saving Bank account 1,Transportation,Travels,2 Place 2 to Place 1 - Novelty tour and travels,Expense,12.879999999999999,
Saving Bank account 1,Food,Tea,2 tea parcel,Expense,0.2208,
Saving Bank account 1,Food,breakfast,2 plates poha,Expense,0.45999999999999996,
Saving Bank account 1,Food,Milk,milk 1lit ,Expense,0.6072,
Credit Card,Food,Lunch,,Expense,2.5944,
Saving Bank account 1,subscription,Tata Sky,Current Residence - Tata Play recharge,Expense,0.9199999999999999,
Saving Bank account 1,Food,Dinner,Sugaran Kitchen,Expense,1.012,
Saving Bank account 1,Gpay Reward,,,Income,0.046,2024-09-12
Saving Bank account 1,Food,Milk,milk 1lit ,Expense,0.6072,2024-09-12
Cash,Transportation,auto,Current Residence to Place 1 bus stop highway,Expense,0.552,2024-09-11
Saving Bank account 1,Transportation,Travels,2 Place 1 to Place 2 - Novelty tour and travels,Expense,23.9016,2024-09-11
Saving Bank account 1,Family,Pocket money,,Expense,23.0,2024-09-11
Saving Bank account 1,Gpay Reward,,,Income,0.0552,2024-09-11
Saving Bank account 1,Food,Grocery,vegetables,Expense,2.622,2024-09-11
Cash,Transportation,train,Local pass to Family,Expense,0.9199999999999999,2024-09-11
Cash,Transportation,auto,2 Current Residence to Place 0,Expense,0.276,2024-09-11
Saving Bank account 1,Food,snacks,Idli 4 pcs + kachori 4 pcs,Expense,0.8556,2024-09-11
Saving Bank account 1,Household,Kirana,Supermart,Expense,4.7288,2024-09-10
Saving Bank account 1,Equity Mutual Fund F,,,Transfer-Out,9.2,2024-09-10
Cash,Health,Medicine,V-wash,Expense,0.414,2024-09-09
Saving Bank account 1,Transportation,Travels,2 Place 1 to Place 2 - Novelty tour and travels,Expense,13.248,2024-09-08
Cash,Food,flour mill,M D sure 4kg atta,Expense,1.8032,2024-09-08
Saving Bank account 1,Equity Mutual Fund E,,,Transfer-Out,9.2,2024-09-07
Cash,Family,Pocket money,,Expense,4.6,2024-09-06
Cash,Other,,Pant chain repair,Expense,0.184,2024-09-06
Saving Bank account 1,Food,snacks,Sweet bread cake 90 + veg puff 2,Expense,1.288,2024-09-06
Saving Bank account 1,subscription,Edtech Course,,Expense,24.84,2024-09-05
Cash,Education,Stationary,Print outs+ Xerox,Expense,0.45999999999999996,2024-09-05
Saving Bank account 1,Equity Mutual Fund A,,,Transfer-Out,9.2,2024-09-05
Saving Bank account 1,Food,Ice cream,4 cups (2 Vanilla 2 tutifruity),Expense,0.368,2024-09-04
Saving Bank account 1,Other,,clock cell,Expense,0.138,2024-09-03
Saving Bank account 1,subscription,Newspaper,,Expense,1.564,2024-09-03
Cash,maid,,,Expense,7.544,2024-09-01
Saving Bank account 1,Food,Milk,milk 1lit ,Expense,0.6072,2024-09-01
Saving Bank account 1,Recurring Deposit,,,Transfer-Out,9.2,2024-09-01
Saving Bank account 1,Recurring Deposit,,,Transfer-Out,9.2,2024-09-01
Saving Bank account 1,Public Provident Fund,,,Transfer-Out,92.0,2024-09-01
Saving Bank account 1,Money transfer,Home,,Expense,92.0,2024-09-01
Saving Bank account 2,Other,,Sms charges + GST,Expense,0.16283999999999998,
Cash,Household,Toiletries,Odonil,Expense,0.552,
Cash,Household,Kirana,Honey small bottle,Expense,0.092,
Cash,Household,Kirana,Janeyu,Expense,0.046,
Cash,Household,Kirana,Nariyal,Expense,0.22999999999999998,
Saving Bank account 1,Gpay Reward,,,Income,0.046,
Saving Bank account 1,Gpay Reward,,,Income,0.1288,
Saving Bank account 1,Food,Milk,1.5 lit milk ,Expense,0.9107999999999999,
Saving Bank account 1,Health,Medicine,5 Meftal spas,Expense,0.2024,
Saving Bank account 1,Salary,,From workplace ,Income,566.5176,
Cash,Transportation,Taxi,Ola cab - Domestic airport T1 to Current Residence,Expense,5.888,
Cash,Tourism,Trip,Misc expense,Expense,1.8399999999999999,
Cash,Food,snacks,2 chips packets,Expense,0.184,
Cash,Tourism,Trip,Misc expense,Expense,0.9199999999999999,
Cash,Health,Medicine,Vicks inhaler,Expense,0.5428,
Cash,Transportation,auto,market to resort,Expense,1.8399999999999999,
Cash,Food,breakfast,Parle G chota pack,Expense,0.046,
Saving Bank account 1,Maturity amount,,FD matured,Income,568.1368,
Cash,Health,Medicine,strepsils 13 pills,Expense,0.3588,
Cash,Transportation,auto,Auto : Mahal to hotel,Expense,0.368,
Credit Card,Food,Eating out,roof top lounge  (200 french fries + 100 masala tea)+15 GST + 10 Tip,Expense,2.9899999999999998,
Credit Card,Household,home decor,2 Bedsheets (1500 each),Expense,27.599999999999998,
Credit Card,Apparel,Clothing,Jaipuri handprinted Maharani Saree (1850 Two pcs + 1500 1 pc),Expense,47.839999999999996,
Cash,Food,Lunch,180 Chicken Sandwich + 120 vada pav & Samosa,Expense,2.76,
Cash,Transportation,Taxi,Ola cab - Current Residence to Domestic airport T1,Expense,7.82,
Cash,Family,Pocket money,,Expense,46.0,
Cash,Household,Kitchen,Mahanagar Gas connection installation,Expense,2.76,
Saving Bank account 1,Life Insurance,,,Transfer-Out,101.5956,2024-08-22
Saving Bank account 1,Equity Mutual Fund C,,,Transfer-Out,9.2,2024-08-22
Saving Bank account 1,Household,Appliances,Selfie stick Bluetooth tripod,Expense,2.576,
Saving Bank account 1,Beauty,grooming,Shaving,Expense,0.45999999999999996,
Saving Bank account 1,Food,Grocery,1.5 kg onions,Expense,0.3036,
Saving Bank account 1,Beauty,Accessories,Lens cleaner,Expense,0.736,
Saving Bank account 1,Education,Stationary,15 fevistick + 12 xerox2 & print2,Expense,0.2484,
Credit Card,Food,Ice cream,Baskin Robbins,Expense,1.5272,
Credit Card,Food,Lunch,280 chicken dum biryani+ 200 paneer tikka laziz + GST,Expense,4.6368,
Cash,Transportation,auto,BKC to kurla station,Expense,0.552,
Saving Bank account 1,Transportation,Taxi,Ola cab - siddhivinayak to BKC,Expense,3.3212,
Cash,Transportation,Taxi,Dadar West to siddhivinayak,Expense,0.22999999999999998,
Cash,Transportation,Train,2 Place 0 to dadar return,Expense,0.552,
Cash,Transportation,auto,2 Current Residence to Place 0,Expense,0.276,
Cash,Apparel,Laundry,clothes ironing : Rs 6 per item,Expense,0.4416,
Credit Card,Other,,Mobile cover moto G5 plus,Expense,2.1988,
Credit Card,Household,Furniture,Foldable wardrobe,Expense,5.2348,
Cash,Household,Appliances,2 locks for bags,Expense,0.552,
Cash,Household,Kirana,Colgate max fresh small,Expense,0.184,
Cash,Household,Kirana,Dettol sanitizer,Expense,0.414,
Saving Bank account 1,subscription,Tata Sky,Current Residence - Tata Play recharge,Expense,1.9964,
Cash,Family,Pocket money,,Expense,0.9199999999999999,
Cash,maid,,,Expense,9.384,
Cash,Household,Kirana,Sugar 1kg Rs.55 + shengdana Rs.33,Expense,0.8096,
Cash,Food,snacks,2 Bhaji pav + 1 vadapav,Expense,0.414,
Credit Card,Household,Appliances,Wifi Router TP link,Expense,12.879999999999999,
Saving Bank account 1,Food,Milk,1.5 lit milk ,Expense,0.9107999999999999,
Credit Card,Household,Appliances,Steam machine,Expense,2.944,
Credit Card,Household,Kirana,Biscuits+ onions,Expense,1.0304,
Cash,Festivals,Navratri,Ganpati+ navratri vargani,Expense,7.359999999999999,2024-08-12
Saving Bank account 1,Transportation,Travels,2 Place 2 to Place 1 - Shree Sharma Travels,Expense,15.318,2024-08-12
Cash,Gift,,Rakshabandhan ovalini,Expense,4.6,2024-08-11
Cash,Transportation,Bus,2 CD to Place 1: shivshahi,Expense,4.324,2024-08-11
Cash,Transportation,auto,within city,Expense,0.9199999999999999,2024-08-11
Cash,Transportation,Bus,2 Place 1 to VN,Expense,3.036,2024-08-11
Cash,Transportation,auto,Current Residence to Place 1 bus stop highway,Expense,0.552,2024-08-11
Saving Bank account 1,Household,Kirana,Dahi (42) + Vanilla essance (34),Expense,0.6992,2024-08-10
Saving Bank account 1,Food,Milk,milk 1lit ,Expense,0.6072,2024-08-10
Saving Bank account 1,Gpay Reward,,,Income,0.0276,2024-08-10
Saving Bank account 1,Equity Mutual Fund F,,,Transfer-Out,9.2,2024-08-10
Saving Bank account 1,Gpay Reward,,,Income,0.0552,2024-08-09
Saving Bank account 1,Household,Toiletries,Dettol liquid handwash refill,Expense,2.0056,2024-08-09
Saving Bank account 1,Health,Medicine,Move jel,Expense,1.15,2024-08-09
Saving Bank account 1,Tourism,Trip,Tours and Travel,Expense,395.59999999999997,2024-08-08
Saving Bank account 1,Food,Milk,milk 1lit ,Expense,0.6072,2024-08-08
Saving Bank account 1,Gpay Reward,,,Income,0.0552,2024-08-07
Saving Bank account 1,Family,Pocket money,,Expense,46.0,2024-08-07
Saving Bank account 1,Food,Milk,Half lit  milk,Expense,0.3036,2024-08-07
Saving Bank account 1,Equity Mutual Fund E,,,Transfer-Out,9.2,2024-08-07
Saving Bank account 1,Gpay Reward,,,Income,0.0552,2024-08-06
Cash,Health,Medicine,Vicks VapoRub,Expense,0.2024,2024-08-06
Saving Bank account 1,subscription,Newspaper,,Expense,1.564,2024-08-06
Cash,Household,Kirana,,Expense,2.7784,2024-08-06
Saving Bank account 1,Food,breakfast,krack Jack biscuits,Expense,0.046,2024-08-06
Saving Bank account 1,Food,Lunch,5 chapati,Expense,0.22999999999999998,2024-08-06
Credit Card,Gift,,Purse on occasion of Rakshabandhan,Expense,8.3628,2024-08-05
Credit Card,Gift,,Purse on occasion of Rakshabandhan,Expense,10.534,2024-08-05
Credit Card,Apparel,Clothing,Family's dresses,Expense,9.0988,2024-08-05
Saving Bank account 1,Health,Medicine,Cinarest,Expense,0.2484,2024-08-05
Cash,Family,Pocket money,Change,Expense,0.9199999999999999,2024-08-05
Saving Bank account 1,Health,Hospital,Medical tests - Family,Expense,56.948,2024-08-05
Saving Bank account 1,Equity Mutual Fund A,,,Transfer-Out,9.2,2024-08-05
Saving Bank account 1,Gpay Reward,,,Income,0.1012,2024-08-04
Saving Bank account 1,subscription,Mobile Service Provider,Family Mobile Service Provider recharge,Expense,27.590799999999998,2024-08-04
Saving Bank account 1,Food,Milk,milk 1lit ,Expense,0.6255999999999999,2024-08-04
Saving Bank account 1,subscription,Newspaper,,Expense,1.564,2024-08-03
Saving Bank account 1,subscription,Edtech Course,,Expense,24.84,2024-08-02
Saving Bank account 1,Food,snacks,Maggie 1 pck,Expense,0.1288,2024-08-02
Saving Bank account 1,Food,Milk,milk 1lit ,Expense,0.6072,2024-08-02
Saving Bank account 1,Apparel,Clothing,Myntra - tshirt+ denim shorts,Expense,3.6708,2024-08-01
Cash,Health,Medicine,4 paracetamol tablets,Expense,0.092,2024-08-01
Saving Bank account 1,Recurring Deposit,,,Transfer-Out,9.2,2024-08-01
Saving Bank account 1,Recurring Deposit,,,Transfer-Out,9.2,2024-08-01
Saving Bank account 1,Money transfer,Home,,Expense,92.0,2024-08-01
Saving Bank account 1,Public Provident Fund,,,Transfer-Out,92.0,2024-08-01
Saving Bank account 1,Food,Dinner,Catering Service:Chicken masala (90)+2 chapati (10),Expense,0.9199999999999999,
Cash,Transportation,auto,ola auto - Current Residence to McD,Expense,0.598,
Saving Bank account 1,Food,Eggs,4 eggs,Expense,0.2024,
Saving Bank account 1,Gpay Reward,,,Income,0.0552,
Cash,Food,Grocery,Dahi 2 packets,Expense,0.184,
Saving Bank account 1,Transportation,Travels,2 Neeta travels : Place A to pune,Expense,8.234,
Cash,Household,Appliances,Laptop repair,Expense,9.2,
Saving Bank account 1,Household,Appliances,Laptop repair ( 128gb SSD rs 2200+ 500gb HDD Rs.1800 + Msoffice+ windows),Expense,27.599999999999998,
Cash,Food,snacks,Chicken roll kasha,Expense,0.9199999999999999,
Cash,Transportation,Train,Place 0 to Place 4 return,Expense,0.184,
Saving Bank account 1,Salary,,From workplace ,Income,566.5176,
Saving Bank account 1,Food,Milk,milk 1lit ,Expense,0.5888,
Credit Card,Health,Medicine,Hospital consultation,Expense,5.1152,
Saving Bank account 1,Transportation,auto,ola auto - Current Residence to hospital Place 6,Expense,0.8924,
Cash,Transportation,auto,2 Place 0 to Current Residence,Expense,0.276,
Credit Card,Health,Medicine,Hospital consultation,Expense,1.5364,
Credit Card,Health,Hospital,Hospital consultation,Expense,28.06,
Cash,Transportation,Train,2 Place 0 to Place 6 return,Expense,0.184,
Cash,Transportation,auto,2 Current Residence to Place 0,Expense,0.276,
Credit Card,Food,Dinner,Non veg overloaded pizza,Expense,1.978,
Credit Card,Food,Lunch,Chicken lollypop 4 pcs,Expense,1.8676,
Cash,Household,Appliances,Distilled water refill Inverter (Rs.100 given by Family),Expense,1.8399999999999999,
Recurring Deposit,Maturity amount,,RD2 matured,Income,370.9992,
Recurring Deposit,Maturity amount,,RD1 matured,Income,370.9992,
Saving Bank account 1,Tax refund,,,Income,178.02,
Saving Bank account 1,Tourism,Trip,Tours and Travel,Expense,184.0,
Credit Card,Food,snacks,Garlic bread + periperi masala fries,Expense,2.2816,
Saving Bank account 1,Food,Eggs,4 eggs,Expense,0.2024,
Saving Bank account 1,Food,Milk,milk 1lit ,Expense,0.5888,
Cash,Household,Appliances,For tata sky installation (100 rs given by Family ),Expense,1.8399999999999999,
Saving Bank account 1,Household,Appliances,Tata sky STB (1299)+ 1 month recharge (226)+ extra wire 45meters(540),Expense,18.998,
Saving Bank account 1,Food,Grocery,Amul butter,Expense,0.4784,
Saving Bank account 1,Food,Milk,milk 1lit ,Expense,0.5888,
Saving Bank account 1,Equity Mutual Fund C,,,Transfer-Out,9.2,
Saving Bank account 1,Other,,CA  - income tax filing,Expense,9.2,
Saving Bank account 1,Food,Milk,Half lit  milk,Expense,0.3036,
Saving Bank account 1,Food,Grocery,,Expense,0.8096,
Cash,Food,snacks,Puri packet of 50 pcs,Expense,0.45999999999999996,
Credit Card,subscription,Mobile Service Provider,Annual recharge,Expense,23.413999999999998,
